#     it    Ltra    Lval
   637   0.0939   0.0450
   638   0.0939   0.0448
   639   0.0939   0.0449
   640   0.0939   0.0450
   641   0.0939   0.0450
   642   0.0939   0.0451
   643   0.0939   0.0451
   644   0.0939   0.0451
   645   0.0939   0.0448
   646   0.0939   0.0452
   647   0.0939   0.0454
   648   0.0939   0.0455
   649   0.0939   0.0455
   650   0.0939   0.0455
   651   0.0939   0.0454
   652   0.0939   0.0455
   653   0.0939   0.0454
   654   0.0939   0.0454
   655   0.0939   0.0456
   656   0.0939   0.0457
   657   0.0939   0.0461
   658   0.0939   0.0461
   659   0.0939   0.0461
   660   0.0939   0.0462
   661   0.0939   0.0464
   662   0.0939   0.0467
   663   0.0939   0.0467
   664   0.0939   0.0468
   665   0.0939   0.0466
   666   0.0939   0.0468
   667   0.0939   0.0471
   668   0.0939   0.0468
   669   0.0939   0.0467
   670   0.0939   0.0471
   671   0.0939   0.0471
   672   0.0939   0.0473
   673   0.0939   0.0470
   674   0.0939   0.0471
   675   0.0939   0.0473
   676   0.0939   0.0469
   677   0.0938   0.0473
   678   0.0938   0.0464
   679   0.0938   0.0466
   680   0.0938   0.0469
   681   0.0938   0.0469
   682   0.0938   0.0467
   683   0.0938   0.0472
   684   0.0938   0.0467
   685   0.0938   0.0471
   686   0.0938   0.0471
   687   0.0938   0.0471
   688   0.0938   0.0469
   689   0.0938   0.0471
   690   0.0938   0.0470
   691   0.0938   0.0476
   692   0.0937   0.0476
   693   0.0937   0.0479
   694   0.0937   0.0475
   695   0.0937   0.0469
   696   0.0937   0.0477
   697   0.0937   0.0479
   698   0.0937   0.0478
   699   0.0936   0.0472
   700   0.0936   0.0460
   701   0.0936   0.0462
   702   0.0936   0.0468
   703   0.0936   0.0469
   704   0.0936   0.0464
   705   0.0936   0.0468
   706   0.0936   0.0469
   707   0.0935   0.0473
   708   0.0935   0.0475
   709   0.0935   0.0473
   710   0.0935   0.0480
   711   0.0935   0.0473
   712   0.0935   0.0468
   713   0.0935   0.0467
   714   0.0935   0.0468
   715   0.0935   0.0471
   716   0.0935   0.0476
   717   0.0935   0.0473
   718   0.0935   0.0470
   719   0.0934   0.0469
   720   0.0934   0.0465
   721   0.0934   0.0466
   722   0.0934   0.0462
   723   0.0934   0.0470
   724   0.0934   0.0471
   725   0.0934   0.0471
   726   0.0934   0.0474
   727   0.0934   0.0478
   728   0.0934   0.0471
   729   0.0933   0.0477
   730   0.0933   0.0476
   731   0.0933   0.0473
   732   0.0933   0.0476
   733   0.0933   0.0474
   734   0.0933   0.0475
   735   0.0933   0.0474
   736   0.0933   0.0477
   737   0.0933   0.0477
   738   0.0933   0.0477
   739   0.0933   0.0477
   740   0.0933   0.0476
   741   0.0933   0.0478
   742   0.0933   0.0471
   743   0.0933   0.0474
   744   0.0933   0.0475
   745   0.0933   0.0475
   746   0.0933   0.0473
   747   0.0933   0.0474
   748   0.0933   0.0470
   749   0.0933   0.0468
   750   0.0933   0.0468
   751   0.0933   0.0476
   752   0.0933   0.0474
   753   0.0933   0.0475
   754   0.0933   0.0476
   755   0.0933   0.0478
   756   0.0932   0.0477
   757   0.0932   0.0498
   758   0.0932   0.0482
   759   0.0932   0.0481
   760   0.0932   0.0488
   761   0.0932   0.0481
   762   0.0932   0.0480
   763   0.0932   0.0482
   764   0.0932   0.0481
   765   0.0932   0.0482
   766   0.0932   0.0483
   767   0.0932   0.0483
   768   0.0932   0.0484
   769   0.0932   0.0484
   770   0.0932   0.0484
   771   0.0932   0.0481
   772   0.0932   0.0483
   773   0.0932   0.0484
   774   0.0932   0.0484
   775   0.0932   0.0485
   776   0.0932   0.0483
   777   0.0932   0.0486
   778   0.0932   0.0484
   779   0.0932   0.0484
   780   0.0932   0.0484
   781   0.0932   0.0485
   782   0.0932   0.0484
   783   0.0932   0.0487
   784   0.0932   0.0487
   785   0.0931   0.0485
   786   0.0931   0.0484
   787   0.0931   0.0480
   788   0.0931   0.0480
   789   0.0931   0.0478
   790   0.0931   0.0477
   791   0.0931   0.0478
   792   0.0931   0.0477
   793   0.0931   0.0474
   794   0.0931   0.0476
   795   0.0931   0.0471
   796   0.0931   0.0462
   797   0.0930   0.0465
   798   0.0930   0.0463
   799   0.0930   0.0459
   800   0.0930   0.0459
   801   0.0930   0.0463
   802   0.0930   0.0460
   803   0.0930   0.0454
   804   0.0930   0.0455
   805   0.0930   0.0454
   806   0.0930   0.0452
   807   0.0930   0.0451
   808   0.0930   0.0451
   809   0.0929   0.0450
   810   0.0929   0.0459
   811   0.0929   0.0456
   812   0.0929   0.0456
   813   0.0929   0.0456
   814   0.0929   0.0455
   815   0.0929   0.0456
   816   0.0929   0.0461
   817   0.0929   0.0459
   818   0.0929   0.0457
   819   0.0929   0.0456
   820   0.0929   0.0458
   821   0.0929   0.0458
   822   0.0928   0.0463
   823   0.0928   0.0461
   824   0.0928   0.0465
   825   0.0928   0.0467
   826   0.0928   0.0471
   827   0.0928   0.0469
   828   0.0928   0.0469
   829   0.0928   0.0469
   830   0.0928   0.0468
   831   0.0928   0.0468
   832   0.0928   0.0468
   833   0.0928   0.0469
   834   0.0928   0.0470
   835   0.0928   0.0472
   836   0.0928   0.0471
   837   0.0928   0.0469
   838   0.0928   0.0470
   839   0.0928   0.0466
   840   0.0928   0.0469
   841   0.0928   0.0471
   842   0.0928   0.0471
   843   0.0928   0.0471
   844   0.0928   0.0471
   845   0.0928   0.0471
   846   0.0928   0.0471
   847   0.0928   0.0471
   848   0.0928   0.0471
   849   0.0928   0.0470
   850   0.0928   0.0470
   851   0.0928   0.0470
   852   0.0928   0.0469
   853   0.0928   0.0472
   854   0.0928   0.0472
   855   0.0928   0.0472
   856   0.0928   0.0472
   857   0.0928   0.0473
   858   0.0928   0.0474
   859   0.0928   0.0474
   860   0.0928   0.0474
   861   0.0928   0.0474
   862   0.0928   0.0474
   863   0.0928   0.0475
   864   0.0928   0.0474
   865   0.0928   0.0473
   866   0.0928   0.0474
   867   0.0928   0.0472
   868   0.0928   0.0474
   869   0.0928   0.0476
   870   0.0928   0.0476
   871   0.0928   0.0476
   872   0.0928   0.0476
   873   0.0928   0.0475
   874   0.0928   0.0475
   875   0.0928   0.0475
   876   0.0928   0.0475
   877   0.0928   0.0477
   878   0.0928   0.0476
   879   0.0928   0.0476
   880   0.0928   0.0476
   881   0.0928   0.0476
   882   0.0928   0.0477
   883   0.0928   0.0477
   884   0.0928   0.0478
   885   0.0928   0.0476
   886   0.0928   0.0477
   887   0.0928   0.0477
   888   0.0928   0.0477
   889   0.0928   0.0477
   890   0.0928   0.0476
   891   0.0928   0.0477
   892   0.0928   0.0477
   893   0.0928   0.0478
   894   0.0928   0.0478
   895   0.0928   0.0477
   896   0.0928   0.0477
   897   0.0928   0.0476
   898   0.0928   0.0477
   899   0.0928   0.0477
   900   0.0928   0.0477
   901   0.0928   0.0477
   902   0.0928   0.0477
   903   0.0928   0.0477
   904   0.0928   0.0477
